nev	azon	fizA	fizB	megA	megB
Kalapos Szilárd	2011D23-17	0	19	0	16
Kalapos András	2014A38-23	0	0	0	0
Gémes Gergő	2016D34-12	0	0	0	0
Szűcs Hapci	2014C38-12	19	0	9	0
Koós Richárd	2011C29-33	17	2	9	2
Hajas Zsuzsa	2010B24-12	0	0	0	0
Szabó Gergő	2016E16-31	0	0	0	0
Budai Zsófia	2015D31-22	0	0	0	0
Kalapos Zsuzsanna	2011B27-31	0	0	0	0
Nógrádi Annamária	2015B18-33	8	11	8	3
Baráth Krisztina	2015C37-10	13	6	5	5
Hajas Zsuzsanna	2011F39-15	0	0	0	0
Légrádi Dóra	2015C33-25	19	0	5	0
Takács Szundi	2016F14-29	0	0	0	0
Kovács Zsuzsa	2010E12-25	0	0	0	0
Kelemen Annamária	2012N13-14	14	5	14	0
Menyhárt Erika	2011C13-13	19	0	6	0
Beke Dóra	2017E40-33	12	7	2	2
Szabó Edit	2016N15-19	0	0	0	0
Lóránt Emese	2016E20-23	0	0	0	0
Somos Hanna	2017B24-14	10	9	8	7
Koós Csaba	2015E17-12	0	0	0	0
Hegedűs Csaba	2012E14-11	19	0	17	0
Mónosi Miska	2015C32-32	0	0	0	0
Bajai Tas	2011D34-23	12	7	9	0
Kovács Anita	2011B12-16	0	0	0	0
Hegedűs Gergő	2015E35-30	0	0	0	0
Koós Gergő	2016C40-18	0	0	0	0
Hegyi András	2015A34-15	19	0	11	0
Gondos Richárd	2014E39-22	0	0	0	0
Menyhárt Júlia	2013D11-18	0	0	0	0
Gémes Vidor	2017D18-21	0	0	0	0
Bajai Emese	2010A29-15	0	0	0	0
Somos Zsuzsanna	2012D21-22	18	1	3	0
Kalapos Dóra	2017C24-18	11	8	3	5
Nagy Jenő	2013A11-21	15	4	8	4
Mónosi Richárd	2017B36-31	12	7	0	0
Koós András	2013F31-27	12	7	5	3
Illés Tamás	2017N28-14	0	0	0	0
Beke Éva	2017E10-32	17	2	12	0
Visegrádi Álmos	2017N24-13	0	0	0	0
Koós Miska	2014N18-28	0	19	0	9
Kovács Szilárd	2011A11-15	0	0	0	0
Orosz Szilárd	2017N22-24	12	7	0	4
Marosi Szundi	2014C34-31	12	7	7	0
Fehér Zsolt	2013C21-20	18	1	6	0
Kerekes Ferenc	2015E11-26	0	0	0	0
Fischer Richárd	2015B24-15	0	0	0	0
Orosz Tas	2012D11-23	0	0	0	0
Asztalos Judit	2017F30-30	0	0	0	0
Kiss Tamás	2016C39-25	0	0	0	0
Hegedűs Tamás	2017C34-35	14	5	7	1
Nagy Richárd	2012N28-28	0	0	0	0
Fischer Melinda	2012D18-25	10	9	3	2
Magyar Zoltán	2015N40-16	19	0	18	0
Somos Tas	2014N24-18	19	0	5	0
Telkes Richárd	2013B12-13	0	0	0	0
Kalapos Dóra	2011B22-19	19	0	2	0
Bajai Frida	2017B31-33	0	0	0	0
Telkes Zsuzsanna	2012N27-11	0	0	0	0
Lakatos Anita	2014N40-32	0	0	0	0
Kerekes Miska	2017A19-24	0	0	0	0
Szűcs Judit	2014F39-20	19	0	18	0
Beke Éva	2017N30-29	0	0	0	0
Orosz Hanna	2011N36-23	14	5	11	4
Fischer Zsófia	2012E38-23	12	7	6	0
Illés Dóra	2015C23-24	11	8	4	1
Lakatos Emese	2011E17-18	0	0	0	0
Csobánki Zsófia	2011F28-20	18	1	5	0
Bajai Tas	2013A33-15	13	6	13	0
Asztalos Judit	2012F22-26	0	0	0	0
Bajai Tas	2014F13-15	0	0	0	0
Légrádi Richárd	2010E35-14	19	0	8	0
Gondos Csaba	2011F37-28	13	6	1	1
Visegrádi Erika	2013A33-22	19	0	2	0
Csobánki Annamária	2012E26-21	0	0	0	0
Tóth Szilárd	2016B17-19	19	0	0	0
Szűcs Zsuzsa	2015C10-27	0	0	0	0
Bajai Szófia	2016C14-32	16	3	2	1
Nagy Mónika	2015E31-10	0	0	0	0
Szabó Gergő	2014B23-34	0	0	0	0
Budai Jenő	2010D12-26	0	0	0	0
Lakatos Elemér	2013C24-31	0	0	0	0
Kerekes Mónika	2013D27-29	0	0	0	0
Menyhárt Éva	2012B11-12	0	0	0	0
Gondos Gergő	2016C34-34	0	0	0	0
Lóránt Jolán	2010D34-19	0	0	0	0
Nagy Zsolt	2010E35-31	0	19	0	2
Menyhárt Frida	2016F13-33	11	8	9	8
Lóránt Anita	2015N40-31	0	0	0	0
Gondos Miska	2012D38-22	0	0	0	0
Kerekes Frida	2013B25-14	0	0	0	0
Szűcs Hapci	2015B35-10	0	0	0	0
Koós Júlia	2011B31-17	0	0	0	0
Hegyi Szilárd	2014E36-31	11	8	0	0
Szűcs Dorottya	2011N18-28	0	0	0	0
Fehér Dorottya	2012D15-19	19	0	4	0
Budai András	2013C20-16	0	0	0	0
Budai Annamária	2012B38-18	0	0	0	0
Csobánki Ferenc	2015E33-15	0	0	0	0
Szűcs Szófia	2013C36-23	9	10	4	9
Telkes Annamária	2017C14-10	16	3	16	2
Hegedűs Éva	2012F12-26	12	7	0	5
Csobánki Hapci	2015E38-30	19	0	14	0
Beke Szilárd	2013D10-33	11	7	7	4
Benedek Emese	2016D20-20	0	0	0	0
Somos Szilárd	2017B25-34	10	9	10	2
Kalapos Lázár	2014N13-26	0	0	0	0
Nógrádi Judit	2014C40-12	0	0	0	0
Szűcs Frida	2010C27-20	0	0	0	0
Fehér Erika	2013C33-12	19	0	15	0
Gémes Zsófia	2011D33-22	0	0	0	0
Fischer Ferenc	2012F34-31	11	8	6	5
Visegrádi Lázár	2017D37-17	18	1	10	1
Beke Tas	2012N25-16	17	2	17	2
Gondos Álmos	2011D14-21	19	0	2	0
Nagy Zsuzsanna	2014B37-11	0	0	0	0
Szűcs Anita	2013E25-24	19	0	12	0
Koós Zsófia	2015D31-12	0	0	0	0
Menyhárt Szófia	2017F15-22	10	9	7	9
Gémes Zsuzsanna	2017B35-33	0	0	0	0
Hegyi Edit	2013C22-28	0	0	0	0
Gondos Elemér	2014B20-28	10	9	8	3
Fischer Zoltán	2016C18-26	18	1	17	1
Fehér Elemér	2010C16-14	17	2	11	2
Szűcs Lázár	2010C27-35	19	0	7	0
Szabó Csaba	2016F15-35	19	0	15	0
Takács Szilárd	2015A34-25	7	12	4	2
Kiss Elemér	2011D38-26	0	0	0	0
Somos Zsuzsanna	2016A25-24	0	0	0	0
Benedek Anna	2010F28-25	0	0	0	0
Kerekes Emese	2015N23-13	0	19	0	5
Légrádi Dorottya	2015D40-11	19	0	0	0
Szűcs Hapci	2012A19-10	0	0	0	0
Beke Álmos	2012F17-11	19	0	7	0
Illés Gergő	2011N18-21	0	0	0	0
Menyhárt Zsolt	2015C28-17	19	0	15	0
Bajai Zsuzsa	2016N31-29	19	0	6	0
Magyar Tas	2010E13-31	12	7	6	5
Tóth Emese	2012N23-22	0	0	0	0
Visegrádi Emese	2011D15-23	15	4	8	3
Kerekes Anita	2014C23-33	0	0	0	0
Kiss Hapci	2012B33-16	0	0	0	0
Nagy Frida	2015D29-21	0	0	0	0
Tóth Miska	2014N10-30	0	0	0	0
Hajas Anna	2012A20-19	0	0	0	0
Hajas Mónika	2014N14-12	19	0	10	0
Fischer Tamás	2016N39-22	13	6	0	4
Szűcs Gergő	2016B15-33	19	0	10	0
Kelemen Emese	2013B40-16	8	11	1	9
Légrádi Lázár	2012C27-28	19	0	4	0
Lakatos Melinda	2017B39-23	7	12	3	11
Tóth Anita	2010C35-26	13	6	3	5
Budai Tas	2015N39-17	13	6	13	6
Illés Tamás	2011B12-12	11	8	6	3
Visegrádi Annamária	2017C15-35	16	3	5	1
Hajas Frida	2012C17-33	0	0	0	0
Szűcs Miska	2014C13-28	18	1	14	0
Kovács Judit	2012D26-33	9	10	6	10
Fischer Anita	2012F14-31	0	0	0	0
Nagy Zsuzsanna	2010D28-28	0	0	0	0
Benedek Csaba	2012B30-34	19	0	18	0
Lóránt Krisztina	2010D24-35	0	0	0	0
Fischer Éva	2013C30-12	0	0	0	0
Baráth Annamária	2016E29-32	0	0	0	0
Fischer Mónika	2010N40-27	0	0	0	0
Somos Mónika	2015F35-18	0	0	0	0
Bajai Melinda	2014N25-14	19	0	4	0
Tóth Jenő	2015A13-30	9	10	2	10
Szűcs Ferenc	2015A11-10	0	0	0	0
Orosz Frida	2012B17-25	0	0	0	0
Pesti Emese	2013A24-18	0	0	0	0
Tóth Edit	2010F40-23	0	0	0	0
Fehér Álmos	2010C33-31	19	0	4	0
Kalapos Tamás	2014B27-21	14	5	4	0
Menyhárt Tas	2013A10-22	0	0	0	0
Illés Elemér	2011B35-33	15	4	0	3
Pesti Erika	2014E38-23	0	0	0	0
Takács Zsófia	2012D25-26	0	0	0	0
Kovács Jolán	2012A38-11	11	3	11	2
Kiss Csaba	2011B25-16	18	1	16	0
Kalapos Elemér	2011E28-12	14	5	13	4
Kelemen Zsuzsanna	2010B11-10	16	3	2	3
Somos Júlia	2013D35-20	0	0	0	0
Visegrádi Hapci	2017N36-35	0	0	0	0
Telkes Jolán	2011N31-24	0	0	0	0
Illés Szilárd	2012D29-13	19	0	12	0
Takács Richárd	2013A24-32	11	8	6	3
Kerekes Tas	2013C31-22	0	0	0	0
Mónosi Tas	2012B15-23	0	0	0	0
Gémes Tamás	2014N17-11	19	0	14	0
Hegedűs Vidor	2016D11-19	18	1	5	1
Kelemen Tas	2010C18-19	15	4	7	3
Kerekes Jenő	2015D26-21	0	0	0	0
Fehér Melinda	2010E38-14	0	0	0	0
Fehér Csaba	2011A26-23	0	0	0	0
Orosz Csaba	2010E37-18	0	0	0	0
Orosz Mónika	2015F21-27	0	0	0	0
Benedek Richárd	2010F30-35	19	0	3	0
Beke Melinda	2010E17-23	0	0	0	0
Magyar Zsolt	2012C14-14	19	0	9	0
Gondos Csaba	2017C15-31	10	9	10	8
Pesti Szilárd	2014B20-15	0	0	0	0
Fehér Judit	2016B22-22	16	3	2	2
Légrádi Mónika	2012E27-26	0	0	0	0
Visegrádi Tamás	2015B34-26	14	5	13	3
Baráth Júlia	2011F26-14	8	11	5	5
Asztalos Elemér	2016D35-32	19	0	1	0
Gémes Zsuzsa	2012F39-20	0	0	0	0
Gémes Hapci	2011C16-28	14	1	2	0
Orosz Vidor	2010E21-18	14	5	0	3
Hajas Tas	2013A18-14	0	0	0	0
Kovács Álmos	2011N27-34	13	6	7	5
Gondos Miska	2016A22-23	0	0	0	0
Koós Ferenc	2010F28-14	10	9	2	8
Illés Jolán	2016N19-12	0	0	0	0
Kovács Krisztina	2011C24-29	0	0	0	0
Pesti Tas	2017F27-34	19	0	14	0
Szabó Júlia	2016D25-16	15	4	0	0
Kalapos Vidor	2013N20-33	18	1	6	1
Orosz Szilárd	2011E24-24	15	4	1	3
Benedek Frida	2010E34-28	0	0	0	0
Bajai Csaba	2015C23-10	0	0	0	0
Baráth Zsolt	2013D34-15	16	3	16	0
Somos Dorottya	2013B39-35	12	7	3	3
Menyhárt Dóra	2011N36-26	14	5	1	3
Fehér Csaba	2010N12-33	0	0	0	0
Szűcs Hanna	2010A25-35	0	0	0	0
Tóth Zsuzsa	2015E31-26	11	8	2	0
Szabó Zsuzsa	2016N12-22	0	0	0	0
Baráth Anita	2013D15-14	0	0	0	0
Szűcs Zoltán	2016A33-26	11	8	2	1
Magyar Melinda	2012D32-20	0	0	0	0
Kovács Júlia	2010E18-26	0	0	0	0
Nógrádi Tamás	2010F37-31	12	7	11	5
Nagy Gergő	2014F26-13	0	0	0	0
Mónosi Edit	2016D20-19	19	0	16	0
Szűcs Ferenc	2015A14-33	0	0	0	0
Hajas Melinda	2016N20-27	14	5	11	1
Budai Szundi	2010B19-26	0	0	0	0
Hegyi Zsolt	2014C39-19	10	0	4	0
Hegyi Éva	2017D11-34	9	10	1	10
Visegrádi Edit	2015F14-12	0	0	0	0
Kalapos Éva	2017F31-26	0	0	0	0
Fehér Dóra	2015B23-19	18	1	10	1
Illés András	2015D31-24	11	8	1	5
Kalapos Anna	2016N35-10	13	6	3	3
Kalapos Dóra	2012F22-25	12	7	12	2
Kerekes Krisztina	2016C11-14	10	9	10	0
Takács Csaba	2017E36-17	16	3	14	3
Mónosi Szundi	2011C37-35	19	0	17	0
Bajai Zsuzsa	2010N22-11	0	0	0	0
Marosi Richárd	2012N26-14	17	2	10	1
Magyar Anita	2017D30-24	0	0	0	0
Koós Anita	2010B15-30	14	5	7	2
Nógrádi Anita	2017A20-23	0	0	0	0
Hegyi Tamás	2013N23-29	19	0	8	0
Visegrádi Elemér	2016C15-10	19	0	10	0
Visegrádi Zoltán	2014N22-28	14	5	9	0
Kelemen Judit	2015D35-19	0	0	0	0
Illés Miska	2016N26-33	12	7	7	4
Bajai Gergő	2017N34-20	0	0	0	0
Marosi Hanna	2015N21-28	14	5	5	0
Asztalos Richárd	2011D12-23	19	0	11	0
Orosz Krisztina	2010E35-32	19	0	3	0
Kiss Regő	2017A14-16	12	7	3	7
Marosi András	2012C29-22	0	0	0	0
Bajai Frida	2010D16-29	0	0	0	0
Nógrádi Zoltán	2017E22-31	9	10	3	3
Visegrádi Júlia	2015C37-19	0	0	0	0
Gémes Zsuzsa	2015D38-34	19	0	4	0
Marosi Csaba	2014N39-20	0	0	0	0
Szabó Krisztina	2016N36-29	0	0	0	0
Légrádi Zsófia	2010A39-19	0	0	0	0
Lóránt Csaba	2016C40-10	0	0	0	0
Hegedűs Anna	2012F28-32	0	0	0	0
Hajas Edit	2016E33-30	0	0	0	0
Szabó Richárd	2010C16-25	0	19	0	2
Hegedűs Zoltán	2011N14-30	14	5	5	5
Kalapos Zsófia	2016A29-26	0	0	0	0
Lakatos Jenő	2017F35-29	19	0	4	0
Lakatos Csaba	2010F37-12	0	0	0	0
Kelemen Elemér	2011F33-19	0	0	0	0
Menyhárt Jolán	2010D20-29	19	0	19	0
Bajai Tamás	2014E10-11	0	0	0	0
Fehér Anna	2013N13-14	14	5	13	4
Budai Szilárd	2014D33-33	15	4	7	2
Pesti Hanna	2017D29-18	0	0	0	0
Tóth Tas	2017B20-30	13	6	11	5
Szabó Erika	2017A36-23	0	0	0	0
Kovács Regő	2013C22-20	19	0	16	0
Lóránt Anna	2011N33-35	0	0	0	0
Illés Zoltán	2011C19-11	0	0	0	0
Gondos Tas	2012D30-32	19	0	8	0
Fehér Elemér	2016F10-10	0	0	0	0
Gondos Zoltán	2010B34-17	0	0	0	0
Visegrádi Tamás	2014F14-11	13	6	6	1
Koós Hanna	2017E24-30	14	5	14	0
Szűcs Zsuzsa	2011F20-15	0	0	0	0
Tóth Regő	2011D14-29	0	0	0	0
Visegrádi Elemér	2014F16-30	0	0	0	0
Hegyi Zsuzsa	2017B13-23	0	0	0	0
Menyhárt Miska	2011D24-18	0	0	0	0
Hajas Jenő	2015A19-27	9	10	0	3
Marosi Regő	2010D29-29	0	0	0	0
Bajai Zsuzsanna	2011F31-12	15	4	14	1
Nagy Jolán	2015B22-13	0	0	0	0
Beke Ferenc	2014E37-33	11	0	9	0
Koós Ferenc	2013N16-15	15	4	4	3
